R64,R32,S16,E8,F4,NCG
1Alabama-96.8%,1Alabama-87.8%,1Alabama-74.8%,1Alabama-53.5%,1Alabama-36.5%,1Alabama-19.5%
1Purdue-96.5%,1Houston-83.5%,1Houston-67.6%,1Houston-45.1%,1Houston-27.7%,1Houston-15.8%
1Kansas-95.9%,2UCLA-82.0%,1Kansas-60.1%,1Kansas-35.4%,1Kansas-19.1%,1Kansas-10.4%
1Houston-95.9%,1Kansas-81.7%,2Texas-54.3%,1Purdue-32.7%,1Purdue-15.4%,1Purdue-8.2%
2UCLA-94.3%,2Arizona-78.9%,2Arizona-49.6%,2Texas-26.5%,2Texas-13.0%,2UCLA-6.3%
2Arizona-93.6%,1Purdue-77.8%,2Marquette-47.7%,2UCLA-23.7%,2UCLA-12.2%,2Texas-6.1%
2Texas-93.2%,2Texas-72.2%,1Purdue-47.0%,2Marquette-19.8%,2Arizona-11.1%,2Arizona-4.9%
3Gonzaga-92.5%,3Gonzaga-70.8%,2UCLA-46.4%,2Arizona-19.8%,3Gonzaga-9.2%,3Gonzaga-4.4%
2Marquette-91.9%,2Marquette-70.6%,3Gonzaga-37.7%,3Gonzaga-18.4%,2Marquette-7.6%,2Marquette-3.2%
3Xavier-90.6%,4UConn-61.2%,3Baylor-27.4%,5Duke-14.9%,5Duke-5.9%,5Duke-3.0%
3Baylor-90.3%,3Xavier-61.0%,5Duke-23.4%,4Tennessee-11.4%,4Tennessee-5.1%,4UConn-2.3%
3Kansas St-89.4%,3Baylor-57.9%,4UConn-22.4%,4UConn-11.0%,4UConn-4.9%,4Tennessee-2.2%
4Tennessee-86.3%,4Virginia-52.5%,3Xavier-21.3%,3Baylor-10.0%,3Baylor-4.5%,3Baylor-1.6%
4UConn-85.7%,3Kansas St-50.3%,3Kansas St-20.6%,3Xavier-7.8%,3Xavier-2.4%,3Xavier-1.0%
6TCU-83.0%,4Indiana-48.7%,4Tennessee-18.3%,3Kansas St-6.9%,3Kansas St-2.1%,4Indiana-1.0%
