Name,AdjO,AdjD,AdjT,Luck,SOS OppO,SOS OppD,NCSOS,Year
Gonzaga,120.7,87.7,69.9,0.016,104.9,104.3,0.73,2017
Villanova,122.8,92.0,63.9,0.026000000000000002,110.2,100.2,4.26,2017
North Carolina,122.1,94.1,70.5,0.006,111.7,99.5,4.16,2017
Kentucky,119.2,92.4,72.7,0.009000000000000001,109.2,99.6,3.93,2017
West Virginia,116.5,89.7,69.7,-0.043,109.3,99.5,-7.89,2017
Louisville,117.1,90.4,67.8,-0.011000000000000001,112.0,99.8,4.61,2017
Virginia,113.7,87.0,58.7,-0.051,111.4,99.3,2.81,2017
Wichita St.,119.7,93.3,68.5,-0.013999999999999999,104.3,103.7,-0.0,2017
Florida,115.9,89.5,68.7,-0.046,110.2,98.5,8.88,2017
Kansas,120.8,94.9,70.1,0.07400000000000001,111.1,98.8,2.75,2017
Duke,121.1,96.0,67.8,0.027000000000000003,111.5,99.1,0.05,2017
Baylor,117.4,92.3,62.9,0.002,111.3,98.5,1.71,2017
Saint Mary's,119.0,94.4,59.2,0.034,104.0,104.3,-4.25,2017
SMU,119.7,95.3,63.4,0.02,104.7,102.1,-1.19,2017
Purdue,116.9,92.7,68.8,-0.023,108.8,100.7,-1.93,2017
Oregon,117.8,94.0,66.6,0.036000000000000004,107.9,101.4,0.71,2017
Wisconsin,114.1,90.9,63.1,0.0,109.5,100.9,-0.92,2017
Cincinnati,114.7,91.5,63.6,0.024,106.2,103.2,-0.2,2017
Iowa St.,119.6,96.5,68.0,-0.01,112.1,98.4,-0.2,2017
UCLA,122.7,99.8,73.0,0.024,107.3,103.3,-4.43,2017
Florida St.,116.8,94.0,70.6,0.023,110.9,101.2,-3.59,2017
Arizona,117.6,94.9,65.6,0.064,108.1,101.5,1.54,2017
Oklahoma St.,124.8,102.7,70.1,-0.055999999999999994,111.6,97.6,3.08,2017
Michigan,121.3,99.5,62.6,-0.034,109.1,99.8,-0.31,2017
Notre Dame,118.9,97.8,67.0,0.021,110.3,99.6,-3.95,2017
Butler,118.0,97.1,65.2,-0.001,110.6,99.8,5.41,2017
Creighton,115.7,96.0,70.7,0.009000000000000001,110.3,101.2,-1.24,2017
Marquette,121.0,103.4,69.8,-0.062,109.1,100.1,-1.8,2017
Kansas St.,112.1,94.5,66.0,-0.04,110.0,99.0,-4.87,2017
Wake Forest,120.9,103.6,70.3,-0.035,111.3,100.1,4.75,2017
South Carolina,105.6,88.6,68.0,-0.004,108.7,100.2,2.36,2017
Miami FL,110.4,93.4,62.9,0.03,111.1,100.9,-4.05,2017
Minnesota,109.6,93.0,69.2,0.027999999999999997,108.8,100.6,-1.32,2017
Vanderbilt,112.3,96.1,65.4,-0.035,110.0,98.8,6.61,2017
Arkansas,117.1,101.1,69.3,0.096,107.6,100.7,-1.16,2017
Clemson,115.9,100.1,66.1,-0.053,111.3,99.7,2.18,2017
Dayton,112.4,96.7,68.4,-0.011000000000000001,105.6,102.2,2.91,2017
Northwestern,111.3,95.7,65.0,0.021,108.6,100.8,-2.81,2017
Xavier,114.9,99.5,67.0,0.03,110.8,99.7,5.83,2017
TCU,113.2,97.9,66.7,-0.027999999999999997,111.2,99.1,-2.91,2017
Rhode Island,110.1,94.8,66.3,-0.028999999999999998,106.2,102.9,2.06,2017
Indiana,116.7,101.5,68.1,-0.085,109.7,100.5,-5.0,2017
Michigan St.,110.6,95.6,66.6,-0.012,110.2,99.6,4.2,2017
Virginia Tech,117.4,102.5,68.2,0.061,110.2,101.4,-7.66,2017
Maryland,113.6,98.8,66.9,0.064,108.0,100.3,-0.91,2017
Texas Tech,112.6,97.8,63.5,-0.08199999999999999,109.1,101.4,-11.44,2017
Utah,114.2,99.5,68.3,-0.087,105.9,102.4,-6.23,2017
VCU,109.8,95.2,68.3,0.046,105.4,102.2,1.13,2017
Middle Tennessee,111.7,97.0,64.1,0.012,104.0,105.6,4.16,2017
Houston,114.0,99.6,64.8,-0.017,105.0,102.1,-2.99,2017
Syracuse,115.9,101.6,66.2,-0.044000000000000004,108.7,100.1,-3.11,2017
Illinois St.,106.7,92.3,64.5,0.10099999999999999,105.0,103.6,-0.34,2017
Seton Hall,109.9,95.9,67.1,0.071,110.0,100.2,-2.11,2017
Alabama,105.4,91.9,64.8,-0.048,108.1,100.7,-0.97,2017
Nevada,114.5,101.2,69.5,0.059000000000000004,104.1,103.3,-0.95,2017
Providence,108.1,95.2,66.2,0.027000000000000003,109.2,100.9,-4.06,2017
Georgia,108.7,95.9,66.8,0.021,109.8,98.6,5.0,2017
California,104.9,92.2,65.2,-0.001,107.4,102.1,-2.27,2017
UNC Wilmington,117.8,105.4,70.0,0.051,105.1,104.9,2.46,2017
USC,112.5,100.2,68.7,0.078,108.0,103.9,-3.13,2017
Tennessee,109.9,97.7,69.1,-0.053,109.0,98.0,6.85,2017
Princeton,108.7,96.6,63.3,0.025,103.3,104.8,2.52,2017
Vermont,110.9,99.0,64.2,0.06,102.7,107.4,1.9,2017
