,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
0,1,15,Kentucky,,,,,,No Upset,Abilene Christian,Slnd,27.0,103.4,102.0,66.1,0.123,100.0,108.7,-4.75,2019
1,2,14,Texas,UCLA,,,,,No Upset,Abilene Christian,Slnd,24.0,101.7,91.6,69.3,0.009,99.4,104.8,4.93,2021
2,1,11,North Carolina,,,,,,No Upset,Air Force,MWC,22.0,111.4,96.0,51.9,0.025,103.3,102.8,-10.49,2004
3,1,13,Illinois,,,,,,No Upset,Air Force,MWC,24.0,113.2,98.3,54.7,-0.001,102.8,102.2,-6.63,2006
4,1,13,Gonzaga,,,,,,No Upset,Akron,MAC,23.0,102.9,96.0,64.8,-0.014,100.9,102.5,-1.83,2009
5,1,15,Notre Dame,,,,,,No Upset,Akron,MAC,23.0,103.7,99.6,65.9,0.043,102.5,104.2,-0.43,2011
6,1,12,VCU,,,,,,No Upset,Akron,MAC,26.0,106.8,95.2,65.2,0.085,102.4,102.7,0.28,2013
7,1,13,UCLA,,,,,,No Upset,Akron,MAC,24.0,105.6,102.0,62.1,0.013,100.7,105.8,-4.48,2022
8,2,2,Florida Atlantic,Kent State,,,,,Upset,Alabama,SEC,27.0,114.0,95.3,68.0,0.076,107.1,98.5,-1.56,2002
9,1,10,Indiana,,,,,,No Upset,Alabama,SEC,17.0,110.3,95.7,65.3,-0.015,106.6,97.1,2.31,2003
10,4,8,Southern Illinois,Stanford,Syracuse,Connecticut,,,No Upset,Alabama,SEC,20.0,114.7,98.2,64.7,0.004,109.1,97.9,6.59,2004
11,1,5,Milwaukee,,,,,,Upset,Alabama,SEC,24.0,118.8,98.3,62.8,0.033,106.5,99.6,-1.28,2005
12,2,10,Marquette,UCLA,,,,,No Upset,Alabama,SEC,18.0,112.8,100.3,63.4,0.005,107.7,98.4,1.6,2006
13,1,9,Creighton,,,,,,No Upset,Alabama,SEC,21.0,106.1,89.5,61.9,-0.067,107.4,100.3,3.98,2012
14,2,9,Virginia Tech,Villanova,,,,,No Upset,Alabama,SEC,20.0,108.7,95.2,68.7,0.017,110.9,99.7,2.54,2018
15,3,2,Iona,Maryland,UCLA,,,,Upset,Alabama,SEC,26.0,112.9,87.8,73.3,0.02,110.1,95.3,9.45,2021
16,1,6,Notre Dame,,,,,,Upset,Alabama,SEC,19.0,115.2,98.6,71.9,-0.022,109.4,96.9,10.15,2022
17,1,16,Duke,,,,,,No Upset,Alabama St.,SWAC,16.0,93.8,104.5,61.4,0.023,94.6,106.7,0.53,2004
18,1,16,Connecticut,,,,,,No Upset,Albany,AE,21.0,106.2,103.6,63.8,0.027,99.6,105.3,0.12,2006
19,1,13,Virginia,,,,,,No Upset,Albany,AE,23.0,107.4,105.2,63.7,0.109,102.4,105.9,0.94,2007
20,1,15,Duke,,,,,,No Upset,Albany,AE,24.0,102.6,101.3,61.7,0.082,98.6,103.8,-6.61,2013
